epoch,kl_loss,recon_loss,step,train_loss
0,1542.3065185546875,57222.1796875,467,58764.5078125
1,2230.71923828125,38144.89453125,935,40375.6171875
2,2239.358154296875,34441.546875,1403,36680.89453125
3,2180.80615234375,33314.828125,1871,35495.62890625
4,2226.17919921875,32665.015625,2339,34891.1875
5,2259.848388671875,32027.984375,2807,34287.8203125
6,2184.463623046875,31383.2421875,3275,33567.6875
7,2070.044677734375,30791.390625,3743,32861.4296875
8,2017.667724609375,30339.9296875,4211,32357.60546875
9,2001.675537109375,30012.0078125,4679,32013.69921875
10,2005.0772705078125,29773.154296875,5147,31778.2265625
11,2019.447021484375,29581.61328125,5615,31601.06640625
12,2031.8935546875,29445.166015625,6083,31477.07421875
13,2048.58837890625,29351.697265625,6551,31400.287109375
14,2058.436767578125,29263.951171875,7019,31322.369140625
15,2064.242431640625,29198.86328125,7487,31263.115234375
16,2070.890869140625,29145.03125,7955,31215.91796875
17,2077.40185546875,29099.626953125,8423,31177.013671875
18,2077.910400390625,29060.470703125,8891,31138.38671875
19,2075.631103515625,29019.291015625,9359,31094.931640625
20,2085.340087890625,28995.439453125,9827,31080.775390625
21,2084.8359375,28962.7578125,10295,31047.5703125
22,2083.487060546875,28935.748046875,10763,31019.2421875
23,2085.207763671875,28910.29296875,11231,30995.49609375
24,2087.560791015625,28894.36328125,11699,30981.908203125
25,2087.871337890625,28873.45703125,12167,30961.333984375
26,2084.121826171875,28856.12890625,12635,30940.25390625
27,2083.58154296875,28834.369140625,13103,30917.94921875
28,2082.707763671875,28827.369140625,13571,30910.09765625
29,2083.7353515625,28804.8671875,14039,30888.59375
30,2081.75927734375,28793.04296875,14507,30874.787109375
31,2085.162353515625,28784.091796875,14975,30869.251953125
32,2081.302490234375,28766.953125,15443,30848.25
33,2082.074951171875,28757.431640625,15911,30839.51953125
34,2082.695068359375,28746.77734375,16379,30829.48046875
35,2081.326904296875,28735.525390625,16847,30816.861328125
36,2078.29638671875,28722.177734375,17315,30800.4609375
37,2079.6298828125,28712.85546875,17783,30792.46484375
38,2079.498291015625,28701.310546875,18251,30780.814453125
39,2075.30419921875,28689.5,18719,30764.810546875
40,2078.240966796875,28687.19921875,19187,30765.470703125
41,2077.2275390625,28675.107421875,19655,30752.33984375
42,2079.6005859375,28667.521484375,20123,30747.12890625
43,2077.72314453125,28657.869140625,20591,30735.595703125
44,2077.486572265625,28647.30859375,21059,30724.77734375
45,2072.9130859375,28643.068359375,21527,30715.984375
46,2076.392578125,28638.4609375,21995,30714.861328125
47,2077.195068359375,28624.642578125,22463,30701.841796875
48,2072.108642578125,28618.40234375,22931,30690.490234375
49,2073.519287109375,28609.548828125,23399,30683.044921875
50,2073.896728515625,28604.9765625,23867,30678.87890625
51,2072.9306640625,28592.87109375,24335,30665.8046875
52,2072.41845703125,28589.921875,24803,30662.35546875
53,2071.29833984375,28586.296875,25271,30657.595703125
54,2073.94873046875,28576.71875,25739,30650.662109375
55,2069.5673828125,28570.89453125,26207,30640.45703125
56,2072.71630859375,28562.96875,26675,30635.658203125
57,2071.41552734375,28557.9140625,27143,30629.322265625
58,2067.7470703125,28549.900390625,27611,30617.640625
59,2068.441650390625,28543.384765625,28079,30611.833984375
60,2070.02587890625,28533.0,28547,30603.03515625
61,2070.24658203125,28533.88671875,29015,30604.12890625
62,2069.958984375,28528.2265625,29483,30598.1796875
63,2070.9970703125,28523.037109375,29951,30594.03125
64,2071.826171875,28514.638671875,30419,30586.478515625
65,2067.002197265625,28508.6875,30887,30575.69140625
66,2067.831298828125,28504.552734375,31355,30572.408203125
67,2065.439208984375,28498.869140625,31823,30564.3203125
68,2066.45166015625,28494.8203125,32291,30561.263671875
69,2068.406982421875,28491.392578125,32759,30559.796875
70,2069.57470703125,28486.4765625,33227,30556.04296875
71,2068.108154296875,28481.9921875,33695,30550.09765625
72,2066.8857421875,28473.380859375,34163,30540.267578125
73,2068.889892578125,28472.54296875,34631,30541.42578125
74,2070.386962890625,28470.146484375,35099,30540.552734375
75,2065.577880859375,28465.1953125,35567,30530.744140625
76,2067.426025390625,28458.87890625,36035,30526.28515625
77,2066.697265625,28454.185546875,36503,30520.869140625
78,2070.063720703125,28450.462890625,36971,30520.525390625
79,2067.68115234375,28444.3203125,37439,30512.017578125
80,2068.353515625,28445.8203125,37907,30514.177734375
81,2067.739990234375,28443.93359375,38375,30511.67578125
82,2066.716552734375,28441.646484375,38843,30508.373046875
83,2066.5732421875,28434.5859375,39311,30501.158203125
84,2068.87451171875,28430.849609375,39779,30499.708984375
85,2065.587890625,28434.28125,40247,30499.876953125
86,2067.275634765625,28426.640625,40715,30493.90625
87,2069.6669921875,28426.615234375,41183,30496.294921875
88,2070.81298828125,28427.427734375,41651,30498.220703125
89,2069.336181640625,28422.09765625,42119,30491.439453125
90,2068.200927734375,28421.66796875,42587,30489.8671875
91,2070.611572265625,28418.380859375,43055,30488.982421875
92,2068.805419921875,28419.01953125,43523,30487.853515625
93,2068.812255859375,28419.5703125,43991,30488.38671875
94,2065.48388671875,28415.69921875,44459,30481.1796875
95,2067.12548828125,28419.421875,44927,30486.568359375
96,2066.776123046875,28417.607421875,45395,30484.373046875
97,2066.8212890625,28413.08203125,45863,30479.923828125
98,2066.089111328125,28415.337890625,46331,30481.421875
99,2067.056884765625,28418.3671875,46799,30485.435546875
